"30","30","ADEREZO IND HELLMANNS KETCHUP x 196 u","ADEREZO IND HELLMANN'S KETCHUP x 196 u","no","500","690","0","690","690","123456789","3","1","no","no"," 20210101000101","20210101000101"
"31","31","ADEREZO IND HELLMANNS MAYONESA  x 196 u","ADEREZO IND HELLMANN'S MAYONESA  x 196 u","no","500","630","0","630","630","123456789","3","1","no","no"," 20210101000101","20210101000101"
"32","32","ADEREZO IND NATURA KETCHUP x 192 u","ADEREZO IND NATURA KETCHUP x 192 u","no","500","685","0","685","685","123456789","3","1","no","no"," 20210101000101","20210101000101"
"33","33","ADEREZO IND NATURA MAYONESA x 192 u","ADEREZO IND NATURA MAYONESA x 192 u","no","500","620","0","620","620","123456789","3","1","no","no"," 20210101000101","20210101000101"
"34","34","ADEREZO IND NATURA MOSTAZA x 192 u","ADEREZO IND NATURA MOSTAZA x 192 u","no","500","560","0","560","560","123456789","3","1","no","no"," 20210101000101","20210101000101"
"35","35","ADEREZO IND QUESO RALLADO 100 unid x 8g","ADEREZO IND QUESO RALLADO 100 unid x 8g","no","500","505","0","505","505","123456789","3","1","no","no"," 20210101000101","20210101000101"
"36","36","ADEREZO IND SAL 2 Kg ","ADEREZO IND SAL 2 Kg ","no","500","465","0","465","465","123456789","3","1","no","no"," 20210101000101","20210101000101"
"37","37","ADEREZO NATURA KETCHUP x 3 Kg","ADEREZO NATURA KETCHUP x 3 Kg","no","500","640","0","640","640","123456789","3","1","no","no"," 20210101000101","20210101000101"
"38","38","ADEREZO NATURA MAYONESA x 3 Kg","ADEREZO NATURA MAYONESA x 3 Kg","no","500","620","0","620","620","123456789","3","1","no","no"," 20210101000101","20210101000101"
"39","39","ADEREZO NATURA MOSTAZA  x 3 Kg","ADEREZO NATURA MOSTAZA  x 3 Kg","no","500","515","0","515","515","123456789","3","1","no","no"," 20210101000101","20210101000101"
"40","40","ADEREZO NATURA SALSA GOLF x 3 Kg","ADEREZO NATURA SALSA GOLF x 3 Kg","no","500","780","0","780","780","123456789","3","1","no","no"," 20210101000101","20210101000101"
"41","41","ADOBO x 1 kg ","ADOBO x 1 kg ","no","500","500","0","500","500","123456789","4","1","no","no"," 20210101000101","20210101000101"
"42","42","AJI CAYENA x 1 kg ","AJI CAYENA x 1 kg ","no","500","580","0","580","580","123456789","4","1","no","no"," 20210101000101","20210101000101"
"43","43","AJI EN VINAGRE x 220 gr  ","AJI EN VINAGRE x 220 gr  ","no","500","135","0","135","135","123456789","4","1","no","no"," 20210101000101","20210101000101"
"44","44","AJI EN VINAGRE x 3 Kg ","AJI EN VINAGRE x 3 Kg ","no","500","660","0","660","660","123456789","4","1","no","no"," 20210101000101","20210101000101"
"45","45","AJI MOLIDO x 1 kg ","AJI MOLIDO x 1 kg ","no","500","570","0","570","570","123456789","4","1","no","no"," 20210101000101","20210101000101"
"46","46","AJO DESHIDRATADO EN GRANO  x 1 kg","AJO DESHIDRATADO EN GRANO  x 1 kg","no","500","650","0","650","650","123456789","4","1","no","no"," 20210101000101","20210101000101"
