"30","30","ADEREZO MOSTAZA SAVORA x 1 kg","ADEREZO MOSTAZA SAVORA x 1 kg","no","100","1","0","340","1","123456818","1","1","no","no","1","no","20210101000101","20210101000101"
"31","31","ADEREZO MOSTAZA SAVORA x 3 kg","ADEREZO MOSTAZA SAVORA x 3 kg","no","100","1","0","1060","1","123456819","1","1","no","no","1","no","20210101000101","20210101000101"
"32","32","ADEREZO NATURA KETCHUP x 3 Kg","ADEREZO NATURA KETCHUP x 3 Kg","no","100","1","0","1500","1","123456820","1","1","no","no","1","no","20210101000101","20210101000101"
"33","33","ADEREZO NATURA MAYONESA x 3 Kg","ADEREZO NATURA MAYONESA x 3 Kg","no","100","1","0","1410","1","123456821","1","1","no","no","1","no","20210101000101","20210101000101"
"34","34","ADEREZO NATURA MOSTAZA  x 3 Kg","ADEREZO NATURA MOSTAZA  x 3 Kg","no","100","1","0","1100","1","123456822","1","1","no","no","1","no","20210101000101","20210101000101"
"35","35","ADEREZO NATURA SALSA GOLF x 3 Kg","ADEREZO NATURA SALSA GOLF x 3 Kg","no","100","1","0","1590","1","123456823","1","1","no","no","1","no","20210101000101","20210101000101"
"36","36","ADEREZO SAVORA x 1 kg","ADEREZO SAVORA x 1 kg","no","100","1","0","335","1","123456824","1","1","no","no","1","no","20210101000101","20210101000101"
"37","37","AJI EN VINAGRE x 3 Kg ","AJI EN VINAGRE x 3 Kg ","no","100","1","0","850","1","123456825","1","1","no","no","1","no","20210101000101","20210101000101"
"38","38","ANCHOAS FRUTOS DEL CIELO  x 90 gr","ANCHOAS FRUTOS DEL CIELO  x 90 gr","no","100","1","0","285","1","123456826","1","1","no","no","1","no","20210101000101","20210101000101"
"39","39","ANCHOAS FRUTOS DEL CIELO EN SOBRE  40 x 3","ANCHOAS FRUTOS DEL CIELO EN SOBRE  40 x 3","no","100","1","0","1800","1","123456827","1","1","no","no","1","no","20210101000101","20210101000101"
"40","40","ANCHOAS FRUTOS DEL CIELO SUELTA x 1 Kg","ANCHOAS FRUTOS DEL CIELO SUELTA x 1 Kg","no","100","1","0","2680","1","123456828","1","1","no","no","1","no","20210101000101","20210101000101"
"41","41","ANCHOAS FRUTOS DEL CIELO SUELTA x 350 g","ANCHOAS FRUTOS DEL CIELO SUELTA x 350 g","no","100","1","0","990","1","123456829","1","1","no","no","1","no","20210101000101","20210101000101"
"42","42","ARVEJAS Chica","ARVEJAS Chica","no","100","1","0","65","1","123456830","1","1","no","no","1","no","20210101000101","20210101000101"
"43","43","ARVEJAS Grande","ARVEJAS Grande","no","100","1","0","120","1","123456831","1","1","no","no","1","no","20210101000101","20210101000101"
"44","44","ATUN EN ACEITE CHICO x 170 gr","ATUN EN ACEITE CHICO x 170 gr","no","100","1","0","190","1","123456832","1","1","no","no","1","no","20210101000101","20210101000101"
"45","45","ATUN EN ACEITE x 1800 kg","ATUN EN ACEITE x 1800 kg","no","100","1","0","2360","1","123456833","1","1","no","no","1","no","20210101000101","20210101000101"
"46","46","BARRA QUESO TYBO MARIMIL  x Kg","BARRA QUESO TYBO MARIMIL  x Kg","no","100","1","0","840","1","123456834","1","1","no","no","1","no","20210101000101","20210101000101"
"47","47","BONDIOLA LUVIANKA  x Kg","BONDIOLA LUVIANKA  x Kg","no","100","1","0","1550","1","123456835","1","1","no","no","1","no","20210101000101","20210101000101"
"48","48","CHAMPIGÑON X 440 g ","CHAMPIGÑON X 440 g ","no","100","1","0","200","1","123456836","1","1","no","no","1","no","20210101000101","20210101000101"
"49","49","CHAMPIGÑON x 800 g","CHAMPIGÑON x 800 g","no","100","1","0","370","1","123456837","1","1","no","no","1","no","20210101000101","20210101000101"
"50","50","CHOCLO CREMOSO AMARILLO x 440 g","CHOCLO CREMOSO AMARILLO x 440 g","no","100","1","0","85","1","123456838","1","1","no","no","1","no","20210101000101","20210101000101"
"51","51","CHOCLO CREMOSO AMARILLO x 880 g ","CHOCLO CREMOSO AMARILLO x 880 g ","no","100","1","0","165","1","123456839","1","1","no","no","1","no","20210101000101","20210101000101"
"52","52","CHOCLO EN GRANOS AMARILLO x 440 g ","CHOCLO EN GRANOS AMARILLO x 440 g ","no","100","1","0","85","1","123456840","1","1","no","no","1","no","20210101000101","20210101000101"
"53","53","CHOCLO EN GRANOS AMARILLO x 880 g","CHOCLO EN GRANOS AMARILLO x 880 g","no","100","1","0","205","1","123456841","1","1","no","no","1","no","20210101000101","20210101000101"
"54","54","ESPINACA x 800 g","ESPINACA x 800 g","no","100","1","0","155","1","123456842","1","1","no","no","1","no","20210101000101","20210101000101"
"55","55","FAINALIN x 10 Kg","FAINALIN x 10 Kg","no","100","1","0","2550","1","123456843","1","1","no","no","1","no","20210101000101","20210101000101"
"56","56","FAINALIN x 5 Kg","FAINALIN x 5 Kg","no","100","1","0","1500","1","123456844","1","1","no","no","1","no","20210101000101","20210101000101"
"57","57","GARBANZO x 350 gr","GARBANZO x 350 gr","no","100","1","0","90","1","123456845","1","1","no","no","1","no","20210101000101","20210101000101"
"58","58","HARINA CENTRAL NORTE x 25 Kg 000","HARINA CENTRAL NORTE x 25 Kg 000","no","100","1","0","2400","1","123456846","1","1","no","no","1","no","20210101000101","20210101000101"
"59","59","HARINA CENTRAL NORTE x 25 Kg 0000","HARINA CENTRAL NORTE x 25 Kg 0000","no","100","1","0","2990","1","123456847","1","1","no","no","1","no","20210101000101","20210101000101"
"60","60","HARINA LAS HORTENCIAS x 25 0000","HARINA LAS HORTENCIAS x 25 0000","no","100","1","0","2650","1","123456848","1","1","no","no","1","no","20210101000101","20210101000101"
"61","61","HARINA PREMIUN CENTRAL NORTE 0000 x 25 kg","HARINA PREMIUN CENTRAL NORTE 0000 x 25 kg","no","100","1","0","3480","1","123456849","1","1","no","no","1","no","20210101000101","20210101000101"
"62","62","HUEVO x 1/2 CAJON N°1","HUEVO x 1/2 CAJON N°1","no","100","1","0","3000","1","123456850","1","1","no","no","1","no","20210101000101","20210101000101"
"63","63","HUEVO x CAJON N°1","HUEVO x CAJON N°1","no","100","1","0","6000","1","123456851","1","1","no","no","1","no","20210101000101","20210101000101"
"64","64","HUEVO x Maple ","HUEVO x Maple ","no","100","1","0","500","1","123456852","1","1","no","no","1","no","20210101000101","20210101000101"
"65","65","JAMON COCIDO 05 BOMBON x Kg","JAMON COCIDO 05 BOMBON x Kg","no","100","1","0","530","1","123456853","1","1","no","no","1","no","20210101000101","20210101000101"
"66","66","JAMON COCIDO 05 NATURAL BOM BOM x kg","JAMON COCIDO 05 NATURAL BOM BOM x kg","no","100","1","0","780","1","123456854","1","1","no","no","1","no","20210101000101","20210101000101"
"67","67","JAMON COCIDO 05 Rectangular x Kg ","JAMON COCIDO 05 Rectangular x Kg ","no","100","1","0","550","1","123456855","1","1","no","no","1","no","20210101000101","20210101000101"
"68","68","JAMON COCIDO LUVIANKA 1/2 CAÑA x Kg","JAMON COCIDO LUVIANKA 1/2 CAÑA x Kg","no","100","1","0","680","1","123456856","1","1","no","no","1","no","20210101000101","20210101000101"
"69","69","JAMON COCIDO LUVIANKA NATURAL S/TACC","JAMON COCIDO LUVIANKA NATURAL S/TACC","no","100","1","0","1050","1","123456857","1","1","no","no","1","no","20210101000101","20210101000101"
